SL No,Launch Date,Launch Vehicle,Launch Vehicle,Orbit Type,Application,Remarks
125,Aditya-L1,02-Sep-23,PSLV-C57/Aditya-L1 Mission,Lunar,Planetary Observation,Launch successful
124,Chandrayaan-3,14-Jul-23,LVM3 M4 / Chandrayaan-3 Mission,Lunar,Planetary Observation,Launch successful
123,NVS-01,29-May-23,GSLV-F12/NVS-01 Mission,,Navigation,Launch successful
122,EOS-07,10-Feb-23,SSLV-D2/EOS-07 Mission,,Earth Observation,Launch successful
121,Thybolt,26-Nov-22,PSLV-C54/EOS-06 Mission,,Earth Observation,Launch successful
120,Thybolt,26-Nov-22,PSLV-C54/EOS-06 Mission,,Earth Observation,Launch successful
119,Anand,26-Nov-22,PSLV-C54/EOS-06 Mission,,Earth Observation,Launch successful
118,INS-2B,26-Nov-22,PSLV-C54/EOS-06 Mission,,Earth Observation,Launch successful
117,EOS-06,26-Nov-22,PSLV-C54/EOS-06 Mission,,Earth Observation,Launch successful
116,EOS-02,07-Aug-22,SSLV-D1/EOS-02 Mission,,Earth Observation,Launch successful
115,GSAT-24,23-Jun-22,Ariane-V(VS257),GSO (Geosynchronous Orbit),Communication,Launch successful
114,INS-2TD,14-Feb-22,PSLV-C52/EOS-04 Mission,,Experimental,Launch successful
113,EOS-04,14-Feb-22,PSLV-C52/EOS-04 Mission,,Earth Observation,Launch successful
112,EOS-03,12-Aug-21,GSLV-F10 / EOS-03 Mission,GTO (Geosynchronous Transfer Orbit),Earth Observation,Launch unsuccessful
111,CMS-01,17-Dec-20,PSLV-C50/CMS-01,GSO (Geosynchronous Orbit),Communication,Launch successful
110,EOS-01,07-Nov-20,PSLV-C49/EOS-01,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",Launch successful
109,GSAT-30,17-Jan-20,Ariane-5 VA-251,GSO (Geosynchronous Orbit),Communication,Launch successful
108,RISAT-2BR1,11-Dec-19,PSLV-C48/RISAT-2BR1,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",Launch successful
107,Cartosat-3,27-Nov-19,PSLV-C47 / Cartosat-3 Mission,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
106,Chandrayaan2,22-Jul-19,GSLV-Mk III - M1 / Chandrayaan-2 Mission,Lunar,Planetary Observation,Launch successful
105,RISAT-2B,22-May-19,PSLV-C46 Mission,LEO (Low Earth Orbit),"Disaster Management System, Earth Observation",Launch successful
104,EMISAT,01-Apr-19,PSLV-C45/EMISAT MISSION,SSPO (Sun Synchronous Polar Orbit),,Launch successful
103,GSAT-31,06-Feb-19,Ariane-5 VA-247,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful
102,Microsat-R,24-Jan-19,PSLV-C44,SSPO (Sun Synchronous Polar Orbit),,Launch successful
101,GSAT-7A,19-Dec-18,GSLV-F11 / GSAT-7A Mission,,Communication,Launch successful
100,GSAT-11 Mission,05-Dec-18,Ariane-5 VA-246,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful
99,HysIS,29-Nov-18,PSLV-C43 / HysIS Mission,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
98,GSAT-29,14-Nov-18,GSLV Mk III-D2 / GSAT-29 Mission,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful
97,IRNSS-1I,12-Apr-18,PSLV-C41/IRNSS-1I,GSO (Geosynchronous Orbit),Navigation,Launch successful
96,GSAT-6A,29-Mar-18,GSLV-F08/GSAT-6A Mission,GSO (Geosynchronous Orbit),Communication,Launch successful
95,INS-1C,12-Jan-18,PSLV-C40/Cartosat-2 Series Satellite Mission,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful
94,Microsat,12-Jan-18,PSLV-C40/Cartosat-2 Series Satellite Mission,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful
93,Cartosat-2 Series Satellite,12-Jan-18,PSLV-C40/Cartosat-2 Series Satellite Mission,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
92,IRNSS-1H,31-Aug-17,PSLV-C39/IRNSS-1H Mission,,Navigation,Launch unsuccessful
91,GSAT-1 7,29-Jun-17,Ariane-5 VA-238,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful
90,Cartosat-2 Series Satellite,23-Jun-17,PSLV-C38 / Cartosat-2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
89,GSAT-19,05-Jun-17,GSLV Mk III-D1/GSAT-19 Mission,GSO (Geosynchronous Orbit),Communication,Launch successful
88,GSAT-9,05-May-17,GSLV-F09 / GSAT-9,GSO (Geosynchronous Orbit),Communication,Launch successful
87,Cartosat -2 Series Satellite,15-Feb-17,PSLV-C37 / Cartosat -2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
86,INS-1A,15-Feb-17,PSLV-C37 / Cartosat -2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful
85,INS-1B,15-Feb-17,PSLV-C37 / Cartosat -2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful
84,RESOURCESAT-2A,07-Dec-16,PSLV-C36 / RESOURCESAT-2A,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
83,GSAT-18,06-Oct-16,Ariane-5 VA-231,GSO (Geosynchronous Orbit),Communication,Launch successful
82,SCATSAT-1,26-Sep-16,PSLV-C35 / SCATSAT-1,SSPO (Sun Synchronous Polar Orbit),Climate & Environment,Launch successful
81,INSAT-3DR,08-Sep-16,GSLV-F05 / INSAT-3DR,GSO (Geosynchronous Orbit),"Climate & Environment, Disaster Management System",Launch successful
80,CARTOSAT-2 Series Satellite,22-Jun-16,PSLV-C34 / CARTOSAT-2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
79,IRNSS-1G,28-Apr-16,PSLV-C33/IRNSS-1G,GEO,Navigation,Launch successful
78,IRNSS-1F,10-Mar-16,PSLV-C32/IRNSS-1F,GEO,Navigation,Launch successful
77,IRNSS-1E,20-Jan-16,PSLV-C31/IRNSS-1E,GSO (Geosynchronous Orbit),Navigation,Launch successful
76,GSAT-15,11-Nov-15,Ariane-5 VA-227,GEO,"Communication, Navigation",Launch successful
75,Astrosat,28-Sep-15,PSLV-C30/AstroSat MISSION,,Space Science,Launch successful
74,GSAT-6,27-Aug-15,GSLV-D6,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful
73,IRNSS-1D,28-Mar-15,PSLV-C27/IRNSS-1D,GSO (Geosynchronous Orbit),Navigation,Launch successful
72,Crew module Atmospheric Re-entry Experiment (CARE),18-Dec-14,LVM-3/CARE Mission,,Experimental,Launch successful
71,GSAT-16,07-Dec-14,Ariane-5 VA-221,GSO (Geosynchronous Orbit),Communication,Launch successful
70,IRNSS-1C,16-Oct-14,PSLV-C26/IRNSS-1C,GEO,Navigation,Launch successful
69,IRNSS-1B,04-Apr-14,PSLV-C24/IRNSS-1B,GSO (Geosynchronous Orbit),Navigation,Launch successful
68,GSAT-14,05-Jan-14,GSLV-D5/GSAT-14,GSO (Geosynchronous Orbit),Communication,Launch successful
67,Mars Orbiter Mission Spacecraft,05-Nov-13,PSLV-C25,Martian,Planetary Observation,Launch successful
